Player,Age,Pos,Team,TOI Org ES,TOI Org PP,TOI Org PK,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PP Points,Hits,BLK,PIM,FOW,FOL,GV,TK,SOG,Value,VAR,Rank (VAR),Fantasy Team,Pts
Connor McDavid,24,C,EDM,17.62,3.85,0,17.62,3.85,0,21.47,27,49,76,26,25,19,22,269,307,59,51,183,1314,1291,2,,299.2
Auston Matthews,23,C,TOR,17.36,3.29,0,17.36,3.29,0,20.66,33,34,67,21,24,53,8,393,339,50,53,213,1373,1351,1,,297.8
Nathan MacKinnon,25,C,COL,16.95,3.95,0,16.95,3.95,0,20.9,27,40,67,23,36,22,19,311,413,40,30,231,1281,1258,3,,283
Leon Draisaitl,25,"C,LW",EDM,17.47,3.78,1.12,17.47,3.78,1.12,22.38,28,43,71,24,24,17,21,510,458,66,51,165,1165,1178,4,,280.8
David Pastrnak,24,RW,BOS,15.28,3.73,0,15.28,3.73,0,19.02,29,36,65,25,38,19,33,5,8,59,37,198,1150,1147,5,,271.2
Nikita Kucherov,27,RW,TB,15.33,3.47,0,15.33,3.47,0,18.8,24,43,67,22,25,15,33,1,2,51,30,170,1075,1072,6,,265
Mitchell Marner,23,"C,RW",TOR,16.25,3.28,2.11,16.25,3.28,2.11,21.64,18,47,65,22,22,31,16,16,18,57,57,160,1041,1038,8,,257.4
Jack Eichel,24,C,BUF,17.59,3.77,0,17.59,3.77,0,21.37,23,37,60,20,38,33,21,447,500,55,32,198,1077,1055,7,,255.8
Evgeni Malkin,34,C,PIT,15.38,3.29,0,15.38,3.29,0,18.67,22,42,64,20,36,23,64,388,401,55,49,155,997,974,11,,254.2
Artemi Panarin,29,LW,NYR,16.41,3.39,0,16.41,3.39,0,19.81,20,44,64,18,16,14,19,1,2,50,41,152,946,959,12,,248
Patrick Kane,32,RW,CHI,17.09,3.49,0,17.09,3.49,0,20.57,22,38,60,18,17,14,28,2,4,29,31,198,1003,1000,10,,247.2
Brad Marchand,32,LW,BOS,13.92,3.43,1.57,13.92,3.43,1.57,18.93,22,40,62,21,36,16,65,25,33,53,37,146,908,920,16,,243.6
Alex Ovechkin,35,LW,WSH,15.46,4.1,0,15.46,4.1,0,19.56,32,21,53,15,134,22,23,1,2,41,23,216,991,1004,9,,243
Mika Zibanejad,27,C,NYR,15.24,3.46,2.59,15.24,3.46,2.59,21.29,25,29,54,21,66,48,18,570,574,49,44,177,968,946,14,,241.6
Sidney Crosby,33,C,PIT,15.84,3.35,0,15.84,3.35,0,19.19,21,39,60,20,40,22,24,599,492,39,33,150,897,875,22,,239.8
John Tavares,30,C,TOR,16.04,2.87,0,16.04,2.87,0,18.92,26,29,55,17,26,27,22,526,439,48,30,173,904,882,19,,236.4
Mark Scheifele,27,C,WPG,17.51,3.38,1.24,17.51,3.38,1.24,22.13,23,34,57,17,35,39,31,520,555,37,48,130,856,834,25,,235.6
Jake Guentzel,26,"LW,RW",PIT,16.81,3.05,0,16.81,3.05,0,19.86,25,30,55,13,77,29,22,34,33,19,29,169,896,909,18,,235.4
Patrice Bergeron,35,C,BOS,13,3.37,1.68,13,3.37,1.68,18.04,25,28,53,19,38,41,25,608,475,24,38,170,904,882,19,,234.4
Sebastian Aho,23,"C,LW",CAR,15.22,3.03,1.7,15.22,3.03,1.7,19.95,25,31,56,17,44,17,22,292,355,46,52,166,863,876,21,,233
Taylor Hall,29,LW,ARI,15.37,3.42,0,15.37,3.42,0,18.79,19,35,54,19,39,31,26,32,37,49,41,186,903,915,17,,230.6
Aleksander Barkov,25,C,FLA,15.71,3.5,1.45,15.71,3.5,1.45,20.66,19,36,55,18,18,34,15,581,491,47,48,155,849,826,27,,228.6
Steven Stamkos,30,"C,LW,RW",TB,14.23,3.26,0,14.23,3.26,0,17.48,22,33,55,18,53,29,28,307,252,34,20,146,820,832,26,,227.8
Kyle Connor,24,LW,WPG,16.46,3.48,1.09,16.46,3.48,1.09,21.03,27,25,52,16,15,17,21,3,7,30,34,179,830,843,24,,225.6
Mikko Rantanen,24,RW,COL,15.79,3.65,0,15.79,3.65,0,19.44,20,35,55,20,33,29,26,50,40,22,41,142,800,797,30,,225
Patrik Laine,22,"LW,RW",WPG,16.15,3.54,0,16.15,3.54,0,19.69,25,25,50,19,69,31,23,10,16,46,30,185,850,862,23,,224.4
John Carlson,31,D,WSH,18.67,3.74,1.8,18.67,3.74,1.8,24.21,9,40,49,21,38,94,22,0,0,44,35,149,891,947,13,,223.4
Jonathan Huberdeau,27,LW,FLA,15.01,3.51,0,15.01,3.51,0,18.52,18,38,56,20,35,24,23,15,22,54,32,136,775,788,32,,222.8
Brayden Point,24,C,TB,15.67,3.35,0,15.67,3.35,0,19.02,24,29,53,14,19,27,14,338,326,17,26,135,753,730,45,,220.8
Vladimir Tarasenko,29,RW,STL,15.23,3.03,0,15.23,3.03,0,18.25,23,27,50,15,61,25,11,2,3,22,23,188,827,824,28,,220.6
Elias Pettersson,22,C,VAN,14.85,3.92,0,14.85,3.92,0,18.77,20,33,53,18,47,37,14,105,138,33,31,132,763,741,42,,220.2
Matthew Tkachuk,23,"LW,RW",CGY,15.47,3.16,0,15.47,3.16,0,18.63,23,30,53,18,88,15,41,3,5,50,31,159,769,782,34,,219.8
Blake Wheeler,34,"C,RW",WPG,15.1,3.22,1.16,15.1,3.22,1.16,19.48,14,39,53,20,70,42,30,165,184,35,26,148,797,795,31,,219.4
Mark Stone,28,RW,VGK,14.99,2.48,1.74,14.99,2.48,1.74,19.21,18,34,52,14,48,43,20,17,25,39,56,138,773,770,37,,218.8
Mathew Barzal,23,C,NYI,16.95,2.85,0,16.95,2.85,0,19.8,16,37,53,13,18,34,30,203,264,63,49,140,755,733,44,,216.6
Roman Josi,30,D,NSH,19.94,3.17,2.2,19.94,3.17,2.2,25.3,12,32,44,15,45,88,32,0,0,45,31,183,878,934,15,,215.8
Ryan Nugent-Hopkins,27,"C,LW",EDM,14.79,3.66,1.79,14.79,3.66,1.79,20.25,19,32,51,21,35,34,24,230,236,35,43,150,758,770,37,,215.6
Johnny Gaudreau,27,"LW,RW",CGY,15.85,3.03,0,15.85,3.03,0,18.87,17,37,54,16,10,11,14,1,3,57,32,161,752,765,39,,215.6
Dylan Larkin,24,C,DET,17.3,3.22,1.04,17.3,3.22,1.04,21.56,18,30,48,11,46,31,50,571,510,62,38,188,787,765,39,,212
Tyler Seguin,29,"C,RW",DAL,15.69,2.59,0.91,15.69,2.59,0.91,19.2,21,26,47,15,62,26,20,446,341,36,27,189,766,763,41,,210.2
Filip Forsberg,26,LW,NSH,14.06,2.98,1.14,14.06,2.98,1.14,18.18,21,26,47,14,75,29,25,2,4,48,48,170,725,738,43,,207.6
Brady Tkachuk,21,LW,OTT,16.04,3.07,0,16.04,3.07,0,19.12,24,19,43,10,218,32,83,104,117,34,25,205,768,780,35,,206.8
Gabriel Landeskog,28,"C,LW",COL,15.98,3.7,0,15.98,3.7,0,19.67,22,24,46,14,93,37,42,238,200,26,38,153,693,706,47,,205.4
Teuvo Teravainen,26,"LW,RW",CAR,14.32,3.01,1.6,14.32,3.01,1.6,18.94,14,38,52,19,17,20,8,18,21,34,37,137,667,680,52,,205.4
Andrei Svechnikov,20,"LW,RW",CAR,14.19,3.06,0,14.19,3.06,0,17.25,21,27,48,14,96,22,51,3,3,51,25,157,683,696,49,,205.2
Brent Burns,35,D,SJ,19.55,2.67,2.31,19.55,2.67,2.31,24.53,9,33,42,14,57,83,26,0,0,47,38,168,766,822,29,,201.8
Nicklas Backstrom,33,C,WSH,14.68,3.56,0.98,14.68,3.56,0.98,19.22,12,38,50,17,26,34,17,464,466,38,33,122,630,608,66,,200
